OrderNumber,CustomerKey,Region,IncomeGroup
SO61512,28570,Europe,Moderate
SO61513,22701,Europe,Low
SO61514,25541,Europe,Low
SO61515,14784,Europe,Low
SO61516,17186,Europe,High
SO61517,13071,North America,Moderate
SO61518,11235,North America,High
SO61519,12180,North America,Moderate
SO61520,12078,North America,Moderate
SO61521,15490,North America,High
SO61522,23423,Pacific,High
SO61523,20609,Pacific,High
SO61524,25213,Pacific,High
SO61525,13650,Pacific,High
SO61526,23730,North America,Moderate
SO61527,23731,North America,Moderate
SO61528,24957,North America,Low
SO61529,23829,North America,Moderate
SO61530,26200,North America,High
SO61531,18476,North America,Low
SO61532,23265,North America,Moderate
SO61533,23183,North America,Moderate
SO61534,18475,North America,Low
SO61535,22733,North America,High
SO61536,17521,North America,Moderate
SO61537,24100,Europe,Moderate
SO61538,14670,Pacific,Moderate
SO61539,20282,Pacific,Moderate
SO61540,22176,Pacific,Moderate
SO61541,26164,Pacific,High
SO61542,12997,Pacific,Moderate
SO61543,12690,Pacific,High
SO61544,25266,Pacific,Low
SO61545,11369,Pacific,Low
SO61546,18206,Pacific,High
SO61547,17902,Europe,Low
SO61548,12386,Europe,Low
SO61549,13562,Europe,Moderate
SO61550,15097,Europe,High
SO61551,11890,North America,High
SO61552,11505,North America,Moderate
SO61553,12068,North America,High
SO61554,28225,North America,High
SO61555,11330,North America,High
SO61556,23796,North America,Low
SO61557,24285,North America,Moderate
SO61558,12165,North America,High
SO61559,19224,North America,Low
SO61560,16213,North America,Moderate
SO61561,18380,North America,High
SO61562,18944,North America,Moderate
SO61563,16049,Europe,Low
SO61564,15680,Europe,Low
SO61565,14543,Europe,Low
SO61566,15711,Europe,High
SO61567,16266,Europe,Low
SO61568,17951,Europe,Low
SO61569,17711,Europe,Low
SO61570,17809,Europe,Low
SO61571,19373,Europe,Low
SO61572,12134,Europe,High
SO61573,16294,Europe,Moderate
SO61574,29439,Europe,Low
SO61575,17371,North America,Moderate
SO61576,12978,North America,Low
SO61577,12788,North America,Moderate
SO61578,11563,Europe,Low
SO61579,12966,North America,Moderate
SO61580,15850,North America,High
SO61581,14434,North America,High
SO61582,15048,Europe,Low
SO61583,14192,Europe,High
SO61584,25215,Pacific,High
SO61585,24477,Pacific,Moderate
SO61586,17728,Pacific,Low
SO61587,13117,Pacific,High
SO61588,13130,Pacific,High
SO61589,29203,North America,High
SO61590,26012,North America,High
SO61591,22787,North America,High
SO61592,24047,Europe,Low
SO61593,27823,Europe,Moderate
SO61594,22480,Europe,Low
SO61595,26956,Europe,Low
SO61596,17232,Pacific,High
SO61597,27513,Pacific,High
SO61598,27343,Pacific,High
SO61599,21371,Pacific,Low
SO61600,15233,Pacific,High
SO61601,17831,Europe,Low
SO61602,22595,Europe,Moderate
SO61603,13263,Europe,High
SO61604,12615,Europe,Low
SO61605,11662,North America,Moderate
SO61606,26248,North America,Low
SO61607,11709,North America,Moderate
SO61608,27603,North America,High
SO61609,11506,North America,Moderate
SO61610,25257,North America,Low
SO61611,11300,North America,High
SO61612,14725,North America,Moderate
SO61613,11185,North America,High
SO61614,11223,North America,High
SO61615,15197,North America,Moderate
SO61616,21270,North America,High
SO61617,28342,North America,Moderate
SO61618,19245,North America,Moderate
SO61619,22354,North America,Low
SO61620,14743,North America,Moderate
SO61621,14369,North America,Moderate
SO61622,13864,North America,Moderate
SO61623,14699,Europe,Moderate
SO61624,25326,Europe,Moderate
SO61625,22553,Europe,Low
SO61626,12752,Europe,Moderate
SO61627,24854,Europe,High
SO61628,12235,Europe,Low
SO61629,28890,Europe,High
SO61630,12327,Europe,High
SO61631,13193,North America,High
SO61632,11385,Europe,Low
SO61633,20544,North America,High
SO61634,12440,North America,Moderate
SO61635,14602,North America,High
SO61636,12914,North America,Moderate
SO61637,14412,North America,High
SO61638,12486,Europe,Low
SO61639,20612,Pacific,High
SO61640,29175,North America,High
SO61641,26018,North America,High
SO61642,24676,North America,Moderate
SO61643,24683,North America,Moderate
SO61644,21621,North America,Moderate
SO61645,18647,North America,Low
SO61646,26321,North America,High
SO61647,20529,North America,Moderate
SO61648,20387,North America,Moderate
SO61649,20400,North America,Moderate
SO61650,20434,North America,Moderate
SO61651,17143,North America,Moderate
SO61652,22463,Europe,Low
SO61653,27866,Pacific,Low
SO61654,11894,Pacific,High
SO61655,11905,Pacific,High
SO61656,11762,Pacific,High
SO61657,19618,Pacific,High
SO61658,22003,Pacific,Moderate
SO61659,23078,Pacific,Low
SO61660,23079,Pacific,Low
SO61661,26145,Pacific,High
SO61662,25001,Pacific,Low
SO61663,11367,Pacific,Low
SO61664,11911,Pacific,High
SO61665,19608,Pacific,High
SO61666,24040,Europe,Moderate
SO61667,15626,Europe,Moderate
SO61668,15100,Europe,High
SO61669,12212,Europe,Low
SO61670,15354,Europe,High
SO61671,12217,Europe,Low
SO61672,12861,Europe,Moderate
SO61673,11519,North America,Moderate
SO61674,11287,North America,High
SO61675,11632,North America,Moderate
SO61676,28146,North America,High
SO61677,26812,North America,Moderate
SO61678,26128,North America,Low
SO61679,24931,North America,Moderate
SO61680,25898,North America,High
SO61681,23790,North America,Low
SO61682,25966,North America,High
SO61683,24518,North America,Moderate
SO61684,24643,North America,Moderate
SO61685,21425,North America,Moderate
SO61686,20477,North America,High
SO61687,28359,North America,Moderate
SO61688,18927,North America,Moderate
SO61689,15297,North America,Moderate
SO61690,13880,North America,Moderate
SO61691,13245,North America,Moderate
SO61692,20806,Europe,Low
SO61693,17081,Europe,Low
SO61694,14537,Europe,Low
SO61695,20965,Europe,Low
SO61696,20566,Europe,High
SO61697,23967,Europe,Low
SO61698,24123,Europe,Low
SO61699,26418,Europe,High
SO61700,25549,Europe,Low
SO61701,25503,Europe,Low
SO61702,11734,North America,Moderate
SO61703,11704,North America,Moderate
SO61704,11692,North America,Moderate
SO61705,14096,North America,Low
SO61706,12057,North America,High
SO61707,11713,North America,High
SO61708,12628,Europe,Low
SO61709,11397,Europe,Low
SO61710,14616,North America,Moderate
SO61711,14613,North America,Moderate
SO61712,15006,North America,High
SO61713,14433,North America,High
SO61714,15566,North America,High
SO61715,28490,Europe,Low
SO61716,26975,Europe,Low
SO61717,28497,Europe,Low
SO61718,26991,Europe,Low
SO61719,13651,Pacific,High
SO61720,29204,North America,High
SO61721,24955,North America,Low
SO61722,24956,North America,Low
SO61723,13328,North America,High
SO61724,25962,North America,High
SO61725,12193,North America,High
SO61726,20541,North America,Moderate
SO61727,17564,North America,Moderate
SO61728,22472,Europe,Low
SO61729,22694,Europe,Low
SO61730,11764,Pacific,High
SO61731,23324,Pacific,Low
SO61732,14087,Pacific,Moderate
SO61733,11752,Pacific,High
SO61734,11425,Europe,High
SO61735,15054,Europe,Low
SO61736,25481,Europe,High
SO61737,11185,North America,High
SO61738,26101,North America,Moderate
SO61739,21251,North America,Low
SO61740,12182,North America,High
SO61741,22025,North America,Moderate
SO61742,21328,North America,High
SO61743,13708,North America,Moderate
SO61744,20485,North America,Moderate
SO61745,15942,North America,High
SO61746,18820,North America,High
SO61747,18542,North America,High
SO61748,19149,North America,Moderate
SO61749,17436,North America,Moderate
SO61750,11748,North America,High
SO61751,16773,North America,Moderate
SO61752,17682,North America,High
SO61753,22015,North America,Low
SO61754,14917,North America,High
SO61755,15165,North America,High
SO61756,13913,North America,High
SO61757,13654,North America,High
SO61758,14955,Europe,Low
SO61759,19925,Europe,High
SO61760,25787,Europe,High
SO61761,21911,Europe,Low
SO61762,12610,Europe,Low
SO61763,16563,Europe,Low
SO61764,27135,Europe,Low
SO61765,15376,North America,High
SO61766,14599,North America,High
SO61767,12179,North America,Moderate
SO61768,14657,North America,High
SO61769,12108,North America,Moderate
SO61770,12903,North America,Moderate
SO61771,14452,North America,High
SO61772,23436,Pacific,High
SO61773,20448,Pacific,High
SO61774,13132,Pacific,High
SO61775,25865,North America,Moderate
SO61776,26055,North America,High
SO61777,23238,North America,Moderate
SO61778,26040,North America,High
SO61779,22784,North America,High
SO61780,20422,North America,Moderate
SO61781,11899,Pacific,High
SO61782,28352,Pacific,Moderate
SO61783,13954,Pacific,Moderate
SO61784,18715,Pacific,Moderate
SO61785,16165,Pacific,High
SO61786,27363,Pacific,High
SO61787,17077,Pacific,Moderate
SO61788,26558,Pacific,Low
SO61789,17501,Pacific,Low
SO61790,16681,Pacific,High
SO61791,18305,Pacific,Moderate
SO61792,25462,Europe,Moderate
SO61793,21540,Europe,High
SO61794,15080,Europe,Moderate
SO61795,15926,Europe,High
SO61796,15116,Europe,High
SO61797,29327,North America,Low
SO61798,29160,North America,Moderate
SO61799,29234,North America,High
SO61800,11330,North America,High
SO61801,12959,North America,High
SO61802,22731,North America,High
SO61803,18644,North America,Moderate
SO61804,23475,North America,Moderate
SO61805,28021,North America,Moderate
SO61806,19688,North America,High
SO61807,17696,North America,Moderate
SO61808,17532,North America,Moderate
SO61809,19208,North America,Low
SO61810,18753,North America,Moderate
SO61811,18504,North America,High
SO61812,23253,North America,Low
SO61813,15375,North America,High
SO61814,15011,North America,Moderate
SO61815,20746,North America,Low
SO61816,16542,Europe,Low
SO61817,28398,Europe,Low
SO61818,20565,Europe,High
SO61819,23935,Europe,Low
SO61820,20798,Europe,Low
SO61821,26416,Europe,High
SO61822,22588,Europe,Low
SO61823,20795,Europe,Low
SO61824,28687,Europe,Low
SO61825,11581,Europe,Moderate
SO61826,27843,Europe,Low
SO61827,27834,Europe,Low
SO61828,26226,Europe,Moderate
SO61829,16935,Europe,Low
SO61830,11309,North America,Moderate
SO61831,12183,North America,High
SO61832,13289,North America,High
SO61833,12238,Europe,Low
SO61834,14591,North America,Moderate
SO61835,14577,North America,Moderate
SO61836,19730,North America,High
SO61837,12198,North America,Moderate
SO61838,14498,North America,High
SO61839,17767,Europe,Moderate
SO61840,28499,Europe,Low
SO61841,23429,Pacific,High
SO61842,13626,Pacific,High
SO61843,28662,North America,High
SO61844,26075,North America,High
SO61845,13345,North America,High
SO61846,26061,North America,High
SO61847,25973,North America,High
SO61848,25980,North America,High
SO61849,26202,North America,High
SO61850,22717,North America,High
SO61851,19874,North America,Moderate
SO61852,17559,North America,Moderate
SO61853,20175,Europe,Low
SO61854,28549,Europe,Moderate
SO61855,11759,Pacific,High
SO61856,11118,Pacific,High
SO61857,15783,Pacific,High
SO61858,14517,Pacific,Low
SO61859,15920,Europe,High
SO61860,22302,Europe,Moderate
SO61861,20825,Europe,Moderate
SO61862,12270,Europe,Low
SO61863,11846,North America,Moderate
SO61864,28978,North America,Moderate
SO61865,28282,North America,Moderate
SO61866,11505,North America,Moderate
SO61867,27461,North America,Moderate
SO61868,24826,North America,Moderate
SO61869,24774,North America,High
SO61870,26275,North America,Moderate
SO61871,23692,North America,Low
SO61872,22087,North America,High
SO61873,17374,North America,Moderate
SO61874,23786,North America,Low
SO61875,23261,North America,Low
SO61876,21814,North America,Moderate
SO61877,20449,North America,Moderate
SO61878,18814,North America,High
SO61879,14455,North America,High
SO61880,19246,North America,Moderate
SO61881,18673,North America,High
SO61882,14352,North America,Moderate
SO61883,21447,North America,High
SO61884,15115,Europe,High
SO61885,16198,Europe,Low
SO61886,13773,Europe,Low
SO61887,20595,Europe,High
SO61888,25689,Europe,Low
SO61889,24851,Europe,High
SO61890,26912,Europe,Low
SO61891,24568,Europe,High
SO61892,29417,Europe,Low
SO61893,16579,Europe,High
SO61894,12111,North America,Moderate
SO61895,11869,North America,High
SO61896,11852,North America,Moderate
SO61897,14341,North America,Low
SO61898,15864,North America,Moderate
SO61899,12719,Europe,Low
SO61900,11602,Europe,Low
SO61901,14636,North America,Moderate
SO61902,15876,North America,High
SO61903,14470,North America,High
SO61904,14447,North America,High
SO61905,13591,Europe,High
SO61906,23425,Pacific,High
SO61907,20450,Pacific,High
SO61908,17353,Pacific,Moderate
SO61909,12248,Pacific,Low
SO61910,12250,Pacific,Low
SO61911,13618,Pacific,High
SO61912,13629,Pacific,High
SO61913,11991,Pacific,Moderate
SO61914,26056,North America,High
SO61915,24654,North America,Moderate
SO61916,20525,North America,Moderate
SO61917,21333,North America,High
SO61918,17116,North America,Moderate
SO61919,29086,Pacific,Low
SO61920,11766,Pacific,High
SO61921,23320,Pacific,Low
SO61922,19098,Pacific,High
SO61923,18270,Pacific,High
SO61924,25233,Pacific,High
SO61925,19324,Europe,Moderate
SO61926,11253,North America,Moderate
SO61927,11253,North America,Moderate
SO61928,11502,North America,Moderate
SO61929,11181,North America,High
SO61930,28009,North America,Moderate
SO61931,27619,North America,High
SO61932,13268,North America,Moderate
SO61933,21771,North America,Moderate
SO61934,17410,North America,High
SO61935,20128,North America,Moderate
SO61936,17432,North America,High
SO61937,16154,North America,High
SO61938,13876,North America,Moderate
SO61939,15712,Europe,High
SO61940,20968,Europe,Low
SO61941,24576,Europe,High
SO61942,23956,Europe,Low
SO61943,24188,Europe,Low
SO61944,26410,Europe,High
SO61945,12166,North America,High
SO61946,17374,North America,Moderate
SO61947,12971,North America,Moderate
SO61948,14576,North America,Moderate
SO61949,15906,North America,High
SO61950,14601,North America,High
SO61951,14471,North America,High
SO61952,14451,North America,High
SO61953,15846,North America,High
SO61954,28557,Europe,Moderate
SO61955,25758,Europe,Low
SO61956,20452,Pacific,High
SO61957,20614,Pacific,High
SO61958,25218,Pacific,High
SO61959,24504,Pacific,Moderate
SO61960,25231,Pacific,High
SO61961,23276,North America,Low
SO61962,25990,North America,High
SO61963,26060,North America,High
SO61964,22749,North America,High
SO61965,20682,North America,High
SO61966,24051,Europe,Low
SO61967,24101,Europe,Moderate
SO61968,11896,Pacific,High
SO61969,11900,Pacific,High
SO61970,27877,Pacific,Low
SO61971,27501,Pacific,High
SO61972,11882,North America,Moderate
SO61973,16704,Pacific,High
SO61974,16711,Pacific,High
SO61975,21971,Pacific,Moderate
SO61976,12038,Pacific,Moderate
SO61977,11116,Pacific,High
SO61978,27491,Pacific,Low
SO61979,24870,Europe,High
SO61980,17632,Europe,Moderate
SO61981,16054,Europe,Low
SO61982,11501,North America,Moderate
SO61983,27648,North America,High
SO61984,16247,North America,Moderate
SO61985,24263,North America,Moderate
SO61986,23333,North America,Moderate
SO61987,24261,North America,Moderate
SO61988,21724,North America,Moderate
SO61989,21692,North America,Moderate
SO61990,13289,North America,High
SO61991,27633,North America,High
SO61992,21725,North America,Moderate
SO61993,13902,North America,High
SO61994,18081,North America,Moderate
SO61995,19507,Europe,Low
SO61996,27938,Europe,High
SO61997,11795,North America,Moderate
SO61998,11858,North America,Moderate
SO61999,11342,Europe,Low
SO62000,13331,North America,High
SO62001,14867,North America,Moderate
SO62002,15908,North America,Moderate
SO62003,14485,North America,High
SO62004,15905,North America,High
SO62005,12042,North America,Moderate
SO62006,24201,Europe,Low
SO62007,23433,Pacific,High
SO62008,24505,Pacific,Moderate
SO62009,13647,Pacific,High
SO62010,13649,Pacific,High
SO62011,23819,North America,Moderate
SO62012,25943,North America,High
SO62013,22234,North America,Moderate
SO62014,25979,North America,High
SO62015,20437,North America,Moderate
SO62016,20145,Europe,Low
SO62017,12807,Europe,Moderate
SO62018,11906,Pacific,High
SO62019,14224,Pacific,High
SO62020,11767,Pacific,High
SO62021,23100,Pacific,Low
SO62022,11507,North America,Moderate
SO62023,11370,Pacific,Low
SO62024,22177,Pacific,Moderate
SO62025,18727,Pacific,Moderate
SO62026,17061,Pacific,High
SO62027,15146,Pacific,High
SO62028,14665,Pacific,High
SO62029,17327,Pacific,High
SO62030,14516,Pacific,Low
SO62031,19626,Pacific,High
SO62032,21679,Europe,Low
SO62033,15624,Europe,Moderate
SO62034,15085,Europe,Moderate
SO62035,14428,Europe,High
SO62036,11142,North America,Moderate
SO62037,28187,North America,Moderate
SO62038,26516,North America,High
SO62039,24512,North America,Moderate
SO62040,12196,North America,High
SO62041,17371,North America,Moderate
SO62042,24624,North America,Moderate
SO62043,23693,North America,Low
SO62044,14370,North America,Moderate
SO62045,14091,North America,Low
SO62046,19715,North America,High
SO62047,16910,North America,High
SO62048,19011,North America,High
SO62049,17547,North America,Moderate
SO62050,14729,North America,Moderate
SO62051,22144,North America,Moderate
SO62052,17213,Europe,High
SO62053,16584,Europe,High
SO62054,17712,Europe,Low
SO62055,19306,Europe,Low
SO62056,11545,Europe,Low
SO62057,22390,Europe,Low
SO62058,23221,Europe,Low
SO62059,18619,Europe,Moderate
SO62060,28879,Europe,High
SO62061,22556,Europe,Low
SO62062,11174,North America,High
SO62063,16731,North America,Low
SO62064,13444,North America,High
SO62065,12236,Europe,Low
SO62066,14617,North America,Moderate
SO62067,13029,North America,Low
SO62068,19735,North America,High
SO62069,14656,North America,High
SO62070,12109,North America,Moderate
SO62071,14501,North America,High
SO62072,14461,North America,High
SO62073,12033,North America,Moderate
SO62074,28500,Europe,Low
SO62075,19325,Europe,Moderate
SO62076,20258,Pacific,High
SO62077,13129,Pacific,High
SO62078,11992,Pacific,Moderate
SO62079,13645,Pacific,High
SO62080,23257,North America,Moderate
SO62081,23266,North America,Moderate
SO62082,22788,North America,High
SO62083,27798,Europe,Moderate
SO62084,11903,Pacific,High
SO62085,11465,Pacific,High
SO62086,22582,Pacific,Low
SO62087,22583,Pacific,Low
SO62088,11277,North America,High
SO62089,11505,North America,Moderate
SO62090,14056,Pacific,Moderate
SO62091,17060,Pacific,High
SO62092,16177,Pacific,High
SO62093,21998,Pacific,High
SO62094,17236,Pacific,High
SO62095,13003,Pacific,High
SO62096,21067,Europe,Low
SO62097,15695,Europe,High
SO62098,29009,North America,Moderate
SO62099,26794,North America,Moderate
SO62100,26254,North America,Low
SO62101,26079,North America,High
SO62102,23734,North America,Moderate
SO62103,23054,North America,High
SO62104,24978,North America,Moderate
SO62105,15863,North America,Moderate
SO62106,18600,North America,Moderate
SO62107,21346,North America,Moderate
SO62108,21353,North America,Moderate
SO62109,19882,North America,High
SO62110,11632,North America,Moderate
SO62111,17689,North America,Moderate
SO62112,24627,North America,Moderate
SO62113,18061,North America,Moderate
SO62114,22285,North America,Moderate
SO62115,21726,North America,Moderate
SO62116,21631,North America,Moderate
SO62117,13656,North America,High
SO62118,17222,Europe,High
SO62119,16507,Europe,Low
SO62120,24535,Europe,High
SO62121,29377,Europe,Low
SO62122,23969,Europe,Low
SO62123,29416,Europe,Low
SO62124,24871,Europe,High
SO62125,11211,North America,Moderate
SO62126,12636,Europe,High
SO62127,11248,Europe,High
SO62128,14590,North America,Moderate
SO62129,15986,North America,Moderate
SO62130,22117,North America,High
SO62131,19714,North America,High
SO62132,19718,North America,High
SO62133,14400,North America,High
SO62134,28695,Europe,Moderate
SO62135,11333,Europe,Low
SO62136,17181,Europe,High
SO62137,23534,Pacific,High
SO62138,13527,Pacific,Low
SO62139,17354,Pacific,Moderate
SO62140,17351,Pacific,Moderate
SO62141,24485,Pacific,Moderate
SO62142,13128,Pacific,High
SO62143,13632,Pacific,High
SO62144,13953,Pacific,High
SO62145,13637,Pacific,High
SO62146,25840,North America,Moderate
SO62147,26616,North America,Moderate
SO62148,22247,North America,Moderate
SO62149,23239,North America,Moderate
SO62150,23195,North America,Moderate
SO62151,20395,North America,Moderate
SO62152,27121,Europe,Low
SO62153,23898,Europe,Low
SO62154,17229,Pacific,High
SO62155,14308,Pacific,High
SO62156,11768,Pacific,High
SO62157,23099,Pacific,Low
SO62158,12894,North America,High
SO62159,11223,North America,High
SO62160,14307,Pacific,Moderate
SO62161,17061,Pacific,High
SO62162,22204,Pacific,High
SO62163,24897,Pacific,High
SO62164,22859,Pacific,High
SO62165,28951,Pacific,High
SO62166,15240,Pacific,Moderate
SO62167,17283,Pacific,Moderate
SO62168,13954,Pacific,Moderate
SO62169,18247,Pacific,High
SO62170,11150,Pacific,Moderate
SO62171,14123,Pacific,Low
SO62172,17787,Europe,Low
SO62173,11420,Europe,High
SO62174,22311,Europe,Low
SO62175,17782,Europe,Moderate
SO62176,17873,Europe,Low
SO62177,15357,Europe,High
SO62178,12211,Europe,Low
SO62179,11646,North America,Moderate
SO62180,28776,North America,Low
SO62181,28855,North America,Moderate
SO62182,27391,North America,Moderate
SO62183,27506,North America,Moderate
SO62184,26451,North America,Moderate
SO62185,26583,North America,Moderate
SO62186,27474,North America,Moderate
SO62187,26679,North America,High
SO62188,14370,North America,Moderate
SO62189,23191,North America,Moderate
SO62190,16247,North America,Moderate
SO62191,20635,North America,High
SO62192,21612,North America,Moderate
SO62193,17422,North America,High
SO62194,13350,North America,High
SO62195,17577,North America,Moderate
SO62196,16356,North America,Moderate
SO62197,15837,North America,Moderate
SO62198,19801,North America,Low
SO62199,12752,Europe,Moderate
SO62200,26216,Europe,Low
SO62201,23772,Europe,Low
SO62202,11434,Europe,High
SO62203,12633,Europe,High
SO62204,28748,Europe,Low
SO62205,16511,Europe,Low
SO62206,11258,North America,High
SO62207,14904,North America,Moderate
SO62208,13206,North America,High
SO62209,15974,North America,High
SO62210,18942,North America,High
SO62211,14639,North America,Moderate
SO62212,14589,North America,Moderate
SO62213,19736,North America,High
SO62214,19721,North America,High
SO62215,14191,Europe,High
SO62216,26963,Europe,Low
SO62217,23432,Pacific,High
SO62218,20613,Pacific,High
SO62219,25234,Pacific,High
SO62220,13115,Pacific,High
SO62221,13131,Pacific,High
SO62222,11031,Pacific,Low
SO62223,25421,North America,Moderate
SO62224,26617,North America,Moderate
SO62225,26058,North America,High
SO62226,19681,North America,Moderate
SO62227,17025,North America,Moderate
SO62228,20059,Europe,Low
SO62229,23226,Europe,Low
SO62230,14346,Pacific,Moderate
SO62231,23102,Pacific,Low
SO62232,23321,Pacific,Low
SO62233,11949,North America,High
SO62234,15593,Pacific,High
SO62235,12012,Pacific,Moderate
SO62236,26759,Pacific,High
SO62237,21370,Pacific,Low
SO62238,18278,Pacific,Moderate
SO62239,11102,Pacific,High
SO62240,22678,Europe,Moderate
SO62241,24565,Europe,High
SO62242,17893,Europe,Low
