CurrencyRateID,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate,EndOfDayRate,ModifiedDate
45,03/06/2011 0:00:00,USD,DEM,"1,88 €","1,88 €",03/06/2011 0:00:00
46,03/06/2011 0:00:00,USD,EUR,"0,96 €","0,96 €",03/06/2011 0:00:00
47,03/06/2011 0:00:00,USD,FRF,"6,31 €","6,31 €",03/06/2011 0:00:00
48,03/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",03/06/2011 0:00:00
49,03/06/2011 0:00:00,USD,JPY,"105,77 €","105,68 €",03/06/2011 0:00:00
50,03/06/2011 0:00:00,USD,MXN,"9,35 €","9,34 €",03/06/2011 0:00:00
51,03/06/2011 0:00:00,USD,SAR,"3,75 €","3,74 €",03/06/2011 0:00:00
52,03/06/2011 0:00:00,USD,VEB,"635,75 €","635,66 €",03/06/2011 0:00:00
53,04/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",04/06/2011 0:00:00
54,04/06/2011 0:00:00,USD,AUD,"1,57 €","1,57 €",04/06/2011 0:00:00
55,04/06/2011 0:00:00,USD,BRL,"1,93 €","1,94 €",04/06/2011 0:00:00
56,04/06/2011 0:00:00,USD,CAD,"1,46 €","1,47 €",04/06/2011 0:00:00
57,04/06/2011 0:00:00,USD,CNY,"8,28 €","8,28 €",04/06/2011 0:00:00
58,04/06/2011 0:00:00,USD,DEM,"1,90 €","1,90 €",04/06/2011 0:00:00
59,04/06/2011 0:00:00,USD,EUR,"0,97 €","0,97 €",04/06/2011 0:00:00
60,04/06/2011 0:00:00,USD,FRF,"6,37 €","6,37 €",04/06/2011 0:00:00
61,04/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",04/06/2011 0:00:00
62,04/06/2011 0:00:00,USD,JPY,"106,11 €","106,18 €",04/06/2011 0:00:00
63,04/06/2011 0:00:00,USD,MXN,"9,34 €","9,34 €",04/06/2011 0:00:00
64,04/06/2011 0:00:00,USD,SAR,"3,75 €","3,76 €",04/06/2011 0:00:00
65,04/06/2011 0:00:00,USD,VEB,"636,25 €","636,33 €",04/06/2011 0:00:00
66,05/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",05/06/2011 0:00:00
67,05/06/2011 0:00:00,USD,AUD,"1,56 €","1,56 €",05/06/2011 0:00:00
68,05/06/2011 0:00:00,USD,BRL,"1,93 €","1,93 €",05/06/2011 0:00:00
69,05/06/2011 0:00:00,USD,CAD,"1,46 €","1,46 €",05/06/2011 0:00:00
70,05/06/2011 0:00:00,USD,CNY,"8,28 €","8,28 €",05/06/2011 0:00:00
71,05/06/2011 0:00:00,USD,DEM,"1,90 €","1,90 €",05/06/2011 0:00:00
72,05/06/2011 0:00:00,USD,EUR,"0,97 €","0,97 €",05/06/2011 0:00:00
73,05/06/2011 0:00:00,USD,FRF,"6,37 €","6,37 €",05/06/2011 0:00:00
74,05/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",05/06/2011 0:00:00
75,05/06/2011 0:00:00,USD,JPY,"106,42 €","106,40 €",05/06/2011 0:00:00
76,05/06/2011 0:00:00,USD,MXN,"9,34 €","9,33 €",05/06/2011 0:00:00
77,05/06/2011 0:00:00,USD,SAR,"3,75 €","3,75 €",05/06/2011 0:00:00
78,05/06/2011 0:00:00,USD,VEB,"636,25 €","636,25 €",05/06/2011 0:00:00
79,06/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",06/06/2011 0:00:00
80,06/06/2011 0:00:00,USD,AUD,"1,56 €","1,57 €",06/06/2011 0:00:00
81,06/06/2011 0:00:00,USD,BRL,"1,93 €","1,94 €",06/06/2011 0:00:00
82,06/06/2011 0:00:00,USD,CAD,"1,46 €","1,47 €",06/06/2011 0:00:00
83,06/06/2011 0:00:00,USD,CNY,"8,28 €","8,28 €",06/06/2011 0:00:00
84,06/06/2011 0:00:00,USD,DEM,"1,90 €","1,90 €",06/06/2011 0:00:00
85,06/06/2011 0:00:00,USD,EUR,"0,97 €","0,97 €",06/06/2011 0:00:00
86,06/06/2011 0:00:00,USD,FRF,"6,37 €","6,37 €",06/06/2011 0:00:00
87,06/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",06/06/2011 0:00:00
88,06/06/2011 0:00:00,USD,JPY,"106,38 €","106,45 €",06/06/2011 0:00:00
89,06/06/2011 0:00:00,USD,MXN,"9,34 €","9,34 €",06/06/2011 0:00:00
90,06/06/2011 0:00:00,USD,SAR,"3,75 €","3,76 €",06/06/2011 0:00:00
91,06/06/2011 0:00:00,USD,VEB,"636,25 €","636,29 €",06/06/2011 0:00:00
92,07/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",07/06/2011 0:00:00
93,07/06/2011 0:00:00,USD,AUD,"1,57 €","1,57 €",07/06/2011 0:00:00
94,07/06/2011 0:00:00,USD,BRL,"1,93 €","1,92 €",07/06/2011 0:00:00
95,07/06/2011 0:00:00,USD,CAD,"1,46 €","1,46 €",07/06/2011 0:00:00
96,07/06/2011 0:00:00,USD,CNY,"8,28 €","8,28 €",07/06/2011 0:00:00
97,07/06/2011 0:00:00,USD,DEM,"1,90 €","1,90 €",07/06/2011 0:00:00
98,07/06/2011 0:00:00,USD,EUR,"0,97 €","0,97 €",07/06/2011 0:00:00
99,07/06/2011 0:00:00,USD,FRF,"6,36 €","6,36 €",07/06/2011 0:00:00
100,07/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",07/06/2011 0:00:00
101,07/06/2011 0:00:00,USD,JPY,"105,74 €","105,72 €",07/06/2011 0:00:00
102,07/06/2011 0:00:00,USD,MXN,"9,33 €","9,32 €",07/06/2011 0:00:00
103,07/06/2011 0:00:00,USD,SAR,"3,75 €","3,74 €",07/06/2011 0:00:00
104,07/06/2011 0:00:00,USD,VEB,"636,40 €","636,32 €",07/06/2011 0:00:00
105,08/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",08/06/2011 0:00:00
106,08/06/2011 0:00:00,USD,AUD,"1,57 €","1,57 €",08/06/2011 0:00:00
107,08/06/2011 0:00:00,USD,BRL,"1,93 €","1,93 €",08/06/2011 0:00:00
108,08/06/2011 0:00:00,USD,CAD,"1,47 €","1,48 €",08/06/2011 0:00:00
109,08/06/2011 0:00:00,USD,CNY,"8,28 €","8,28 €",08/06/2011 0:00:00
110,08/06/2011 0:00:00,USD,DEM,"1,90 €","1,90 €",08/06/2011 0:00:00
111,08/06/2011 0:00:00,USD,EUR,"0,97 €","0,97 €",08/06/2011 0:00:00
112,08/06/2011 0:00:00,USD,FRF,"6,36 €","6,36 €",08/06/2011 0:00:00
113,08/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",08/06/2011 0:00:00
114,08/06/2011 0:00:00,USD,JPY,"104,47 €","104,54 €",08/06/2011 0:00:00
115,08/06/2011 0:00:00,USD,MXN,"9,34 €","9,34 €",08/06/2011 0:00:00
116,08/06/2011 0:00:00,USD,SAR,"3,75 €","3,76 €",08/06/2011 0:00:00
117,08/06/2011 0:00:00,USD,VEB,"636,75 €","636,84 €",08/06/2011 0:00:00
118,09/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",09/06/2011 0:00:00
119,09/06/2011 0:00:00,USD,AUD,"1,58 €","1,58 €",09/06/2011 0:00:00
120,09/06/2011 0:00:00,USD,BRL,"1,93 €","1,92 €",09/06/2011 0:00:00
121,09/06/2011 0:00:00,USD,CAD,"1,47 €","1,46 €",09/06/2011 0:00:00
122,09/06/2011 0:00:00,USD,CNY,"8,28 €","8,28 €",09/06/2011 0:00:00
123,09/06/2011 0:00:00,USD,DEM,"1,91 €","1,91 €",09/06/2011 0:00:00
124,09/06/2011 0:00:00,USD,EUR,"0,98 €","0,98 €",09/06/2011 0:00:00
125,09/06/2011 0:00:00,USD,FRF,"6,41 €","6,41 €",09/06/2011 0:00:00
126,09/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",09/06/2011 0:00:00
127,09/06/2011 0:00:00,USD,JPY,"104,56 €","104,55 €",09/06/2011 0:00:00
128,09/06/2011 0:00:00,USD,MXN,"9,31 €","9,30 €",09/06/2011 0:00:00
129,09/06/2011 0:00:00,USD,SAR,"3,75 €","3,75 €",09/06/2011 0:00:00
130,09/06/2011 0:00:00,USD,VEB,"637,25 €","637,17 €",09/06/2011 0:00:00
131,10/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",10/06/2011 0:00:00
132,10/06/2011 0:00:00,USD,AUD,"1,58 €","1,58 €",10/06/2011 0:00:00
133,10/06/2011 0:00:00,USD,BRL,"1,93 €","1,93 €",10/06/2011 0:00:00
134,10/06/2011 0:00:00,USD,CAD,"1,47 €","1,47 €",10/06/2011 0:00:00
135,10/06/2011 0:00:00,USD,CNY,"8,24 €","8,24 €",10/06/2011 0:00:00
136,10/06/2011 0:00:00,USD,DEM,"1,92 €","1,92 €",10/06/2011 0:00:00
137,10/06/2011 0:00:00,USD,EUR,"0,98 €","0,98 €",10/06/2011 0:00:00
138,10/06/2011 0:00:00,USD,FRF,"6,44 €","6,44 €",10/06/2011 0:00:00
139,10/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",10/06/2011 0:00:00
140,10/06/2011 0:00:00,USD,JPY,"104,41 €","104,46 €",10/06/2011 0:00:00
141,10/06/2011 0:00:00,USD,MXN,"9,31 €","9,31 €",10/06/2011 0:00:00
142,10/06/2011 0:00:00,USD,SAR,"3,75 €","3,76 €",10/06/2011 0:00:00
143,10/06/2011 0:00:00,USD,VEB,"637,50 €","637,57 €",10/06/2011 0:00:00
144,11/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",11/06/2011 0:00:00
145,11/06/2011 0:00:00,USD,AUD,"1,57 €","1,57 €",11/06/2011 0:00:00
146,11/06/2011 0:00:00,USD,BRL,"1,93 €","1,92 €",11/06/2011 0:00:00
147,11/06/2011 0:00:00,USD,CAD,"1,47 €","1,47 €",11/06/2011 0:00:00
148,11/06/2011 0:00:00,USD,CNY,"8,24 €","8,24 €",11/06/2011 0:00:00
149,11/06/2011 0:00:00,USD,DEM,"1,93 €","1,93 €",11/06/2011 0:00:00
150,11/06/2011 0:00:00,USD,EUR,"0,99 €","0,99 €",11/06/2011 0:00:00
151,11/06/2011 0:00:00,USD,FRF,"6,47 €","6,47 €",11/06/2011 0:00:00
152,11/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",11/06/2011 0:00:00
153,11/06/2011 0:00:00,USD,JPY,"103,99 €","103,91 €",11/06/2011 0:00:00
154,11/06/2011 0:00:00,USD,MXN,"9,36 €","9,35 €",11/06/2011 0:00:00
155,11/06/2011 0:00:00,USD,SAR,"3,75 €","3,75 €",11/06/2011 0:00:00
156,11/06/2011 0:00:00,USD,VEB,"637,75 €","637,75 €",11/06/2011 0:00:00
157,12/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",12/06/2011 0:00:00
158,12/06/2011 0:00:00,USD,AUD,"1,57 €","1,57 €",12/06/2011 0:00:00
159,12/06/2011 0:00:00,USD,BRL,"1,92 €","1,93 €",12/06/2011 0:00:00
160,12/06/2011 0:00:00,USD,CAD,"1,47 €","1,47 €",12/06/2011 0:00:00
161,12/06/2011 0:00:00,USD,CNY,"8,24 €","8,24 €",12/06/2011 0:00:00
162,12/06/2011 0:00:00,USD,DEM,"1,92 €","1,92 €",12/06/2011 0:00:00
163,12/06/2011 0:00:00,USD,EUR,"0,98 €","0,98 €",12/06/2011 0:00:00
164,12/06/2011 0:00:00,USD,FRF,"6,45 €","6,45 €",12/06/2011 0:00:00
165,12/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",12/06/2011 0:00:00
166,12/06/2011 0:00:00,USD,JPY,"101,85 €","101,92 €",12/06/2011 0:00:00
167,12/06/2011 0:00:00,USD,MXN,"9,36 €","9,36 €",12/06/2011 0:00:00
168,12/06/2011 0:00:00,USD,SAR,"3,75 €","3,75 €",12/06/2011 0:00:00
169,12/06/2011 0:00:00,USD,VEB,"638,50 €","638,58 €",12/06/2011 0:00:00
170,13/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",13/06/2011 0:00:00
171,13/06/2011 0:00:00,USD,AUD,"1,58 €","1,58 €",13/06/2011 0:00:00
172,13/06/2011 0:00:00,USD,BRL,"1,92 €","1,92 €",13/06/2011 0:00:00
173,13/06/2011 0:00:00,USD,CAD,"1,47 €","1,46 €",13/06/2011 0:00:00
174,13/06/2011 0:00:00,USD,CNY,"8,24 €","8,24 €",13/06/2011 0:00:00
175,13/06/2011 0:00:00,USD,DEM,"1,93 €","1,93 €",13/06/2011 0:00:00
176,13/06/2011 0:00:00,USD,EUR,"0,98 €","0,98 €",13/06/2011 0:00:00
177,13/06/2011 0:00:00,USD,FRF,"6,46 €","6,46 €",13/06/2011 0:00:00
178,13/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",13/06/2011 0:00:00
179,13/06/2011 0:00:00,USD,JPY,"102,55 €","102,49 €",13/06/2011 0:00:00
180,13/06/2011 0:00:00,USD,MXN,"9,36 €","9,36 €",13/06/2011 0:00:00
181,13/06/2011 0:00:00,USD,SAR,"3,75 €","3,74 €",13/06/2011 0:00:00
182,13/06/2011 0:00:00,USD,VEB,"638,50 €","638,42 €",13/06/2011 0:00:00
183,14/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",14/06/2011 0:00:00
184,14/06/2011 0:00:00,USD,AUD,"1,57 €","1,57 €",14/06/2011 0:00:00
185,14/06/2011 0:00:00,USD,BRL,"1,92 €","1,93 €",14/06/2011 0:00:00
186,14/06/2011 0:00:00,USD,CAD,"1,47 €","1,47 €",14/06/2011 0:00:00
187,14/06/2011 0:00:00,USD,CNY,"8,24 €","8,24 €",14/06/2011 0:00:00
188,14/06/2011 0:00:00,USD,DEM,"1,93 €","1,94 €",14/06/2011 0:00:00
189,14/06/2011 0:00:00,USD,EUR,"0,99 €","0,99 €",14/06/2011 0:00:00
190,14/06/2011 0:00:00,USD,FRF,"6,49 €","6,49 €",14/06/2011 0:00:00
191,14/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",14/06/2011 0:00:00
192,14/06/2011 0:00:00,USD,JPY,"102,33 €","102,39 €",14/06/2011 0:00:00
193,14/06/2011 0:00:00,USD,MXN,"9,35 €","9,35 €",14/06/2011 0:00:00
194,14/06/2011 0:00:00,USD,SAR,"3,75 €","3,76 €",14/06/2011 0:00:00
195,14/06/2011 0:00:00,USD,VEB,"638,50 €","638,53 €",14/06/2011 0:00:00
196,15/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",15/06/2011 0:00:00
197,15/06/2011 0:00:00,USD,AUD,"1,57 €","1,57 €",15/06/2011 0:00:00
198,15/06/2011 0:00:00,USD,BRL,"1,92 €","1,91 €",15/06/2011 0:00:00
199,15/06/2011 0:00:00,USD,CAD,"1,47 €","1,47 €",15/06/2011 0:00:00
200,15/06/2011 0:00:00,USD,CNY,"8,24 €","8,24 €",15/06/2011 0:00:00
201,15/06/2011 0:00:00,USD,DEM,"1,94 €","1,94 €",15/06/2011 0:00:00
202,15/06/2011 0:00:00,USD,EUR,"0,99 €","0,99 €",15/06/2011 0:00:00
203,15/06/2011 0:00:00,USD,FRF,"6,50 €","6,50 €",15/06/2011 0:00:00
204,15/06/2011 0:00:00,USD,GBP,"0,63 €","0,62 €",15/06/2011 0:00:00
205,15/06/2011 0:00:00,USD,JPY,"102,09 €","102,06 €",15/06/2011 0:00:00
206,15/06/2011 0:00:00,USD,MXN,"9,35 €","9,34 €",15/06/2011 0:00:00
207,15/06/2011 0:00:00,USD,SAR,"3,75 €","3,75 €",15/06/2011 0:00:00
208,15/06/2011 0:00:00,USD,VEB,"638,50 €","638,50 €",15/06/2011 0:00:00
209,16/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",16/06/2011 0:00:00
210,16/06/2011 0:00:00,USD,AUD,"1,57 €","1,57 €",16/06/2011 0:00:00
211,16/06/2011 0:00:00,USD,BRL,"1,92 €","1,93 €",16/06/2011 0:00:00
212,16/06/2011 0:00:00,USD,CAD,"1,47 €","1,48 €",16/06/2011 0:00:00
213,16/06/2011 0:00:00,USD,CNY,"8,24 €","8,24 €",16/06/2011 0:00:00
214,16/06/2011 0:00:00,USD,DEM,"1,94 €","1,94 €",16/06/2011 0:00:00
215,16/06/2011 0:00:00,USD,EUR,"0,99 €","0,99 €",16/06/2011 0:00:00
216,16/06/2011 0:00:00,USD,FRF,"6,50 €","6,50 €",16/06/2011 0:00:00
217,16/06/2011 0:00:00,USD,GBP,"0,63 €","0,63 €",16/06/2011 0:00:00
218,16/06/2011 0:00:00,USD,JPY,"102,34 €","102,41 €",16/06/2011 0:00:00
219,16/06/2011 0:00:00,USD,MXN,"9,35 €","9,35 €",16/06/2011 0:00:00
220,16/06/2011 0:00:00,USD,SAR,"3,75 €","3,75 €",16/06/2011 0:00:00
221,16/06/2011 0:00:00,USD,VEB,"638,50 €","638,55 €",16/06/2011 0:00:00
222,17/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",17/06/2011 0:00:00
223,17/06/2011 0:00:00,USD,AUD,"1,58 €","1,58 €",17/06/2011 0:00:00
224,17/06/2011 0:00:00,USD,BRL,"1,92 €","1,92 €",17/06/2011 0:00:00
225,17/06/2011 0:00:00,USD,CAD,"1,48 €","1,47 €",17/06/2011 0:00:00
226,17/06/2011 0:00:00,USD,CNY,"8,24 €","8,24 €",17/06/2011 0:00:00
227,17/06/2011 0:00:00,USD,DEM,"1,94 €","1,94 €",17/06/2011 0:00:00
228,17/06/2011 0:00:00,USD,EUR,"0,99 €","0,99 €",17/06/2011 0:00:00
229,17/06/2011 0:00:00,USD,FRF,"6,52 €","6,52 €",17/06/2011 0:00:00
230,17/06/2011 0:00:00,USD,GBP,"0,63 €","0,62 €",17/06/2011 0:00:00
231,17/06/2011 0:00:00,USD,JPY,"102,57 €","102,54 €",17/06/2011 0:00:00
232,17/06/2011 0:00:00,USD,MXN,"9,35 €","9,35 €",17/06/2011 0:00:00
233,17/06/2011 0:00:00,USD,SAR,"3,75 €","3,74 €",17/06/2011 0:00:00
234,17/06/2011 0:00:00,USD,VEB,"638,50 €","638,48 €",17/06/2011 0:00:00
235,18/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",18/06/2011 0:00:00
236,18/06/2011 0:00:00,USD,AUD,"1,58 €","1,58 €",18/06/2011 0:00:00
237,18/06/2011 0:00:00,USD,BRL,"1,92 €","1,93 €",18/06/2011 0:00:00
238,18/06/2011 0:00:00,USD,CAD,"1,48 €","1,49 €",18/06/2011 0:00:00
239,18/06/2011 0:00:00,USD,CNY,"8,24 €","8,24 €",18/06/2011 0:00:00
240,18/06/2011 0:00:00,USD,DEM,"1,95 €","1,95 €",18/06/2011 0:00:00
241,18/06/2011 0:00:00,USD,EUR,"1,00 €","1,00 €",18/06/2011 0:00:00
242,18/06/2011 0:00:00,USD,FRF,"6,55 €","6,55 €",18/06/2011 0:00:00
243,18/06/2011 0:00:00,USD,GBP,"0,62 €","0,63 €",18/06/2011 0:00:00
244,18/06/2011 0:00:00,USD,JPY,"102,47 €","102,48 €",18/06/2011 0:00:00
245,18/06/2011 0:00:00,USD,MXN,"9,35 €","9,36 €",18/06/2011 0:00:00
246,18/06/2011 0:00:00,USD,SAR,"3,75 €","3,76 €",18/06/2011 0:00:00
247,18/06/2011 0:00:00,USD,VEB,"638,50 €","638,51 €",18/06/2011 0:00:00
248,19/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",19/06/2011 0:00:00
249,19/06/2011 0:00:00,USD,AUD,"1,58 €","1,58 €",19/06/2011 0:00:00
250,19/06/2011 0:00:00,USD,BRL,"1,92 €","1,92 €",19/06/2011 0:00:00
251,19/06/2011 0:00:00,USD,CAD,"1,48 €","1,48 €",19/06/2011 0:00:00
252,19/06/2011 0:00:00,USD,CNY,"8,24 €","8,24 €",19/06/2011 0:00:00
253,19/06/2011 0:00:00,USD,DEM,"1,95 €","1,95 €",19/06/2011 0:00:00
254,19/06/2011 0:00:00,USD,EUR,"1,00 €","1,00 €",19/06/2011 0:00:00
255,19/06/2011 0:00:00,USD,FRF,"6,55 €","6,55 €",19/06/2011 0:00:00
256,19/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",19/06/2011 0:00:00
257,19/06/2011 0:00:00,USD,JPY,"102,85 €","102,78 €",19/06/2011 0:00:00
258,19/06/2011 0:00:00,USD,MXN,"9,35 €","9,35 €",19/06/2011 0:00:00
259,19/06/2011 0:00:00,USD,SAR,"3,75 €","3,75 €",19/06/2011 0:00:00
260,19/06/2011 0:00:00,USD,VEB,"638,50 €","638,43 €",19/06/2011 0:00:00
261,20/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",20/06/2011 0:00:00
262,20/06/2011 0:00:00,USD,AUD,"1,58 €","1,58 €",20/06/2011 0:00:00
263,20/06/2011 0:00:00,USD,BRL,"1,92 €","1,93 €",20/06/2011 0:00:00
264,20/06/2011 0:00:00,USD,CAD,"1,48 €","1,49 €",20/06/2011 0:00:00
265,20/06/2011 0:00:00,USD,CNY,"8,24 €","8,24 €",20/06/2011 0:00:00
266,20/06/2011 0:00:00,USD,DEM,"1,95 €","1,95 €",20/06/2011 0:00:00
267,20/06/2011 0:00:00,USD,EUR,"1,00 €","1,00 €",20/06/2011 0:00:00
268,20/06/2011 0:00:00,USD,FRF,"6,54 €","6,54 €",20/06/2011 0:00:00
269,20/06/2011 0:00:00,USD,GBP,"0,62 €","0,63 €",20/06/2011 0:00:00
270,20/06/2011 0:00:00,USD,JPY,"102,71 €","102,80 €",20/06/2011 0:00:00
271,20/06/2011 0:00:00,USD,MXN,"9,35 €","9,35 €",20/06/2011 0:00:00
272,20/06/2011 0:00:00,USD,SAR,"3,75 €","3,75 €",20/06/2011 0:00:00
273,20/06/2011 0:00:00,USD,VEB,"638,50 €","638,55 €",20/06/2011 0:00:00
274,21/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",21/06/2011 0:00:00
275,21/06/2011 0:00:00,USD,AUD,"1,58 €","1,58 €",21/06/2011 0:00:00
276,21/06/2011 0:00:00,USD,BRL,"1,92 €","1,92 €",21/06/2011 0:00:00
277,21/06/2011 0:00:00,USD,CAD,"1,48 €","1,47 €",21/06/2011 0:00:00
278,21/06/2011 0:00:00,USD,CNY,"8,24 €","8,24 €",21/06/2011 0:00:00
279,21/06/2011 0:00:00,USD,DEM,"1,93 €","1,93 €",21/06/2011 0:00:00
280,21/06/2011 0:00:00,USD,EUR,"0,99 €","0,98 €",21/06/2011 0:00:00
281,21/06/2011 0:00:00,USD,FRF,"6,46 €","6,46 €",21/06/2011 0:00:00
282,21/06/2011 0:00:00,USD,GBP,"0,62 €","0,62 €",21/06/2011 0:00:00
283,21/06/2011 0:00:00,USD,JPY,"102,43 €","102,40 €",21/06/2011 0:00:00
284,21/06/2011 0:00:00,USD,MXN,"9,35 €","9,34 €",21/06/2011 0:00:00
285,21/06/2011 0:00:00,USD,SAR,"3,75 €","3,75 €",21/06/2011 0:00:00
286,21/06/2011 0:00:00,USD,VEB,"638,50 €","638,46 €",21/06/2011 0:00:00
287,22/06/2011 0:00:00,USD,ARS,"1,00 €","1,00 €",22/06/2011 0:00:00
288,22/06/2011 0:00:00,USD,AUD,"1,57 €","1,57 €",22/06/2011 0:00:00
289,22/06/2011 0:00:00,USD,BRL,"1,92 €","1,93 €",22/06/2011 0:00:00
